Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality,Clustering
ts-station-service,gateway-service,discovery-service,eureka-service,configurator,zookeeper,kafka,registry,discovery-service,eureka-service,configserver,consul,config-server,ts-admin-basic-info-service
configserver,organization-service,logstash,zipkin,admin,config-server,rabbitmq,gateway,employee-service,logstash,configurator,discovery-service,ts-preserve-service,ts-train-food-service
ts-order-other-service,gateway,discovery-server,kafka,ts-travel-plan-service,gateway-service,eureka-discovery,auth-service,webservice-registry,eureka,api-gateway,order,ts-seat-service,ts-station-food-service
ts-station-service,config-service,discovery-service,discovery-service,ts-rebook-service,gateway-service,eureka-service,kafka,eureka,serviceregistry,config-server,webservice-registry,logstash,rabbit
config-server,configserver,registry,webservice-registry,ts-admin-basic-info-service,organization-service,serviceregistry,discovery-service,shipping,api-gateway,gateway-service,message-service,ts-preserve-other-service,scaffold-txmanager
ts-seat-service,movie-catalog-service,ts-seat-service,eureka,config-service,gateway,zipkin,eureka-discovery,rabbitmq,recommendation-client,config-service,appointment-service,ts-basic-service,mysql
ts-travel2-service,config-server,webservice-registry,discovery-service,ts-travel2-service,admin,discovery-service,zuul-gateway,jhipster-registry,eureka,apache,discovery-service,ts-travel2-service,microservice-api-gateway
configserver,discovery-server,eureka,eureka-discovery,ts-admin-travel-service,zuul,registry,repository-service,discovery-server,webservice-registry,postgres,customer,ts-ticketinfo-service,apache
ts-route-service,config-service,ts-seat-service,order,ts-travel-plan-service,config,eureka,config-service,invoicing,zuul,zuul,store,ts-travel-plan-service,postgres
config-server,rabbitmq,webservice-registry,catalog,ts-cancel-service,apache,registry,benchmark-service,serviceregistry,api-gateway,recommendation-client,order,zookeeper,ts-execute-service
eureka-server,registry,ts-travel2-service,customer,ts-seat-service,postgres,edge-server,hotel-service,eureka-discovery,zuul,store,eureka,reminder,ts-payment-service
config,webservice-registry,statistics-service,shipping,ts-admin-basic-info-service,recommendation-client,discovery-service,user-service,discovery-service,api-gateway,github-repository,movie-info-service,mailer,zipkin-tracing
admin,discovery-service,ts-ticketinfo-service,order,ts-travel-service,department-service,gateway,config-service,blog,webservice-registry,database-repository-service,catalog,ts-station-service,github-repository
ts-rebook-service,auth-service,rabbit,invoicing,ts-cancel-service,api-gateway,gateway-service,configserver,gateway,repository-service,movie-info-service,blog,ts-order-service,ts-user-service
ts-train-service,configurator,ts-route-service,benchmark-service,config-service,rabbitmq,zuul-gateway,notification-service,recommendation-client,benchmark-service,database-benchmark-service,ratings-data-service,ts-train-service,auth-mongodb
config-server,discovery-service,ts-travel2-service,department-service,order,auth-service,repository-service,configserver,gateway-service,edge-server,ratings-data-service,webservice-registry,config,rabbitmq
config-service,config-service,employee-service,repository-service,gateway-service,foodtray-service,benchmark-service,statistics-service,api-gateway,discovery-service,config,serviceregistry,ts-route-service,notification-mongodb
ts-basic-service,order,discovery-service,rabbitmq,auth-service,gateway-service,invoicing,rabbitmq,repository-service,eureka-discovery,user-service,customer,api-gateway,statistics-mongodb
auth-service,eureka-service,kafka,serviceregistry,organization-service,kafka,shipping,scaffold-eureka,benchmark-service,invoicing,gateway-service,order,oauth,account-mongodb
zookeeper,recommendation-client,zipkin,auth-service,ts-basic-service,store,ts-station-service,eureka,registry,shipping,organization-service,catalog,registry,external-website
discovery-service,config-server,mysql,geocoderremote-service,ts-route-plan-service,github-repository,discovery-service,turbine-stream-service,zuul,store,config-service,hotel-service,ts-security-service,ts-verification-code-service
ts-ticketinfo-service,admin,mailer,mailer,gateway-service,order,recommendation-client,webservice-registry,scaffold-zuul,blog,config-server,user-service,ts-food-service,qbike-order
rabbit,zuul,ts-user-service,catalog,apache,employee-service,store,config-server,department-service,zuul-gateway,auth-service,employee-service,auth-service,qbike-uc
eureka,eureka-server,eureka,customer,gateway,account-service,blog,config-server,gateway-service,auth-service,gateway-service,hospital-manage-service,ts-route-plan-service,kafka
logstash,config-server,eureka,registry,ts-travel-service,movie-info-service,rating-service,turbine,api-gateway,eureka,kafka,eureka-discovery,ts-order-other-service,scaffold-business-thirdparty-service
discovery-service,webservice-registry,ts-train-service,order,ts-travel2-service,registry,api-gateway,backend,user-service,zipkin,product-proxy,recommendation-service,ts-inside-payment-service,scaffold-business-sys-service
webservice-registry,catalog,ts-basic-service,rabbit,ts-basic-service,backend,rabbitmq,account-service,customer-service,gateway-service,foodtray-service,eureka-service,gateway,monitor
notification-service,customer,eureka-service,movie-info-service,order,authserver,employee-service,customer-service,catalog,microservice-api-gateway,position,movie-service,ts-cancel-service,ts-payment-service
statistics-service,repository-service,account-service,gateway-service,department-service,user-service,hospital-manage-service,authserver,movie-service,movie-info-service,intention,user-service,ts-rebook-service,database-user-service
registry,benchmark-service,eureka-discovery,organization-service,product-proxy,ratings-data-service,mail-server,discovery-service,customer,ratings-data-service,uc,geocoderremote-service,organization-service,database-hotel-service
mailer,eureka-discovery,notification-service,customer-service,ts-inside-payment-service,discovery-service,customer-service,webservice-registry,customer,personal-info-service,order,discovery-server,gateway-service,ts-consign-price-service
ts-inside-payment-service,discovery-service,ts-contacts-service,backend,ts-route-plan-service,customer-service,authserver,account-service,catalog,discovery-service,admin,discovery-service,department-service,ts-admin-basic-info-service
configurator,logstash,consul,authserver,ts-food-service,ts-preserve-service,backend,rabbit,recommendation-service,backend,zookeeper,zipkin,employee-service,ts-register-service
webservice-registry,zookeeper,ts-inside-payment-service,hotel-service,notification-service,ts-preserve-other-service,account-service,message-service,backend,customer-service,approval-service,eureka-server,ts-admin-travel-service,github-repository
order,eureka,department-service,rating-service,zuul,turbine,catalog,qbike-order,account-service,authserver,department-service,customer-service,ts-travel-plan-service,ts-admin-user-service
gateway-service,api-gateway,ts-price-service,user-service,ts-inside-payment-service,reminder,order,eureka,authserver,account-service,turbine,account-service,statistics-service,ts-food-map-service
organization-service,customer-service,invoicing,gateway-service,turbine,product-proxy,customer,appointment-service,edge-server,eureka-server,task-webservice,department-service,notification-service,ts-notification-service
ts-food-service,zipkin,serviceregistry,movie-service,apache,mongodb,ts-sso-service,approval-service,zuul-gateway,registry,auth-service,geocoderlocal-service,account-service,ts-login-service
auth-service,discovery-server,order,user-service,postgres,gateway,auth-service,rabbitmq,auth-service,catalog,user-proxy,approval-service,ts-contacts-service,ts-config-service
order,movie-info-service,shipping,recommendation-client,movie-catalog-service,auth-service,zuul,auth-service,rating-service,customer,task-webservice,auth-service,config-service,ts-consign-service
config-service,ratings-data-service,rabbitmq,recommendation-service,recommendation-client,repository-service,ts-route-service,reminder,api-gateway,order,turbine-server,statistics-service,discovery-service,ts-train-service
kafka,shipping,ts-contacts-service,account-service,api-gateway,task-webservice,ts-train-service,mailer,zuul,gateway,gateway,logstash,ts-assurance-service,github-repository
ts-inside-payment-service,invoicing,ts-notification-service,statistics-service,reminder,catalog,gateway,geocoderremote-service,mailer,employee-service,auth-server,registry,ts-security-service,scaffold-business-job-service
ts-travel-plan-service,user-service,auth-service,ratings-data-service,ts-seat-service,customer,user-service,product-service,store,rating-service,category-service,comments-webservice,ts-route-service,rabbitmq
ts-rebook-service,serviceregistry,discovery-server,gateway,auth-service,benchmark-service,movie-service,category-service,user-service,hystrix-dashboard,product-service,price-service,ts-route-plan-service,github-repository
discovery-server,account-service,jhipster-registry,store,jhipster-registry,database-benchmark-service,recommendation-service,security-service,hotel-service,movie-catalog-service,security-service,item-service,ts-food-service,scaffold-zuul
account-service,store,ts-assurance-service,blog,foodtray-service,database-repository-service,monitor-dashboard,shipping,geocoderremote-service,hospital-manage-service,mongodb,category-service,ts-basic-service,ts-consign-service
employee-service,backend,ts-inside-payment-service,oauth,ts-food-service,task-webservice,turbine,order,rabbitmq,order,scaffold-config-server,product-service,config-service,scaffold-route-openapi
department-service,authserver,oauth,api-gateway,ts-register-service,turbine-server,rabbitmq,invoicing,order,catalog,ts-preserve-service,account-service,ts-notification-service,scaffold-route-app
jhipster-registry,reminder,auth-service,reminder,ts-security-service,ts-rebook-service,customer,ts-travel-service,organization-service,customer,ts-preserve-other-service,notification-service,configserver,scaffold-route-operate
gateway,mailer,reminder,ts-sso-service,qbike-intention,turbine,catalog,organization-service,personal-info-service,message-service,ts-preserve-service,monitor-dashboard,zipkin,ts-price-service
reminder,catalog,ts-food-service,hystrix-dashboard,ts-order-service,catalog,order,department-service,eureka,appointment-service,employee-service,recommendation-client,ts-train-service,ts-assurance-service
eureka,customer,ts-consign-service,zuul-gateway,ts-execute-service,eureka,gateway-service,employee-service,geocoderlocal-service,department-service,order,comments-webservice,discovery-service,ts-config-service
ts-route-service,geocoderremote-service,appointment-service,geocoderlocal-service,task-webservice,customer,user-service,customer,gateway,turbine,customer,mailer,config-server,github-repository
ts-cancel-service,config,ts-security-service,personal-info-service,task-webservice,scaffold-config-server,hotel-service,order,statistics-service,hotel-service,catalog,monitor-dashboard,configserver,ts-notification-service
turbine,apache,ts-price-service,message-service,ts-login-service,user-proxy,geocoderremote-service,catalog,ts-sso-service,user-service,ts-preserve-other-service,oauth,ts-inside-payment-service,ts-contacts-service
config-service,recommendation-service,api-gateway,hospital-manage-service,scaffold-config-server,notification-service,geocoderlocal-service,ts-ticketinfo-service,rabbit,qbike-order,api-gateway,api-gateway,config-server,mail-server
order,user-service,geocoderremote-service,appointment-service,user-service,oauth,ts-order-service,ts-seat-service,notification-service,ts-sso-service,zipkin,reminder,webservice-registry,ts-admin-route-service
ts-food-service,movie-service,ts-config-service,notification-service,uc,api-gateway,ts-order-other-service,ts-travel2-service,account-service,recommendation-service,scaffold-route-app,api-gateway,discovery-service,ts-admin-travel-service
ts-route-plan-service,turbine,hospital-manage-service,account-service,turbine-stream-service,mailer,ts-price-service,ts-travel-service,ts-station-service,user-service,scaffold-route-openapi,security-service,auth-service,ts-admin-order-service
recommendation-client,postgres,message-service,ts-station-service,statistics-service,ts-preserve-other-service,statistics-service,kafka,movie-info-service,movie-service,scaffold-business-sys-service,zuul-gateway,webservice-registry,ts-execute-service
ts-admin-basic-info-service,foodtray-service,ts-station-food-service,api-gateway,account-service,ts-preserve-service,account-service,user-service,ratings-data-service,ts-station-service,scaffold-route-operate,hystrix-dashboard,configurator,zookeeper
eureka,oauth,personal-info-service,item-service,intention,approval-service,notification-service,movie-service,order,mailer,demo,organization-service,order,mail-server
ts-security-service,hotel-service,discovery-service,comments-webservice,position,message-service,department-service,rating-service,turbine-stream-service,turbine-stream-service,scaffold-business-thirdparty-service,api-gateway,order,order
appointment-service,rating-service,price-service,price-service,order,appointment-service,turbine-stream-service,recommendation-service,hospital-manage-service,rabbitmq,scaffold-txmanager,turbine,config-service,auth-server
oauth,api-gateway,item-service,ts-order-other-service,gateway-service,eureka-service,ts-seat-service,qbike-intention,reminder,apache,scaffold-business-job-service,edge-server,ts-cancel-service,database-ts-route-service
api-gateway,notification-service,approval-service,ts-order-service,employee-service,movie-service,ts-ticketinfo-service,ts-seat-service,oauth,config-service,user-webservice,demo,ts-admin-basic-info-service,zuul
ts-cancel-service,auth-service,hotel-service,mysql,ts-ticketinfo-service,github-repository,monitor-dashboard,ts-order-service,api-gateway,monitor-dashboard,web-portal,auth-server,eureka-discovery,github-repository
eureka-service,registry,rating-service,eureka,ts-order-other-service,discovery-service,auth-service,qbike-trip,microservice-api-gateway,organization-service,comments-webservice,web-portal,kafka,store
discovery-service,statistics-service,qbike-trip,api-gateway,gateway,serviceregistry,organization-service,qbike-uc,auth-service,mail-server,auth-server,task-webservice,ts-consign-service,jhipster-registry
ts-basic-service,message-service,user-service,comments-webservice,ts-admin-travel-service,database-user-service,ts-travel-service,ts-order-other-service,ts-order-service,rabbitmq,rating-service,user-webservice,eureka-service,blog
ts-travel-plan-service,appointment-service,ts-consign-price-service,monitor-dashboard,ts-admin-route-service,hotel-service,ts-travel2-service,ts-basic-service,appointment-service,rabbit,hotel-service,auth-service,recommendation-client,github-repository
ts-admin-basic-info-service,zuul-gateway,gateway-service,admin,rabbitmq,database-hotel-service,ts-config-service,ts-travel2-service,message-service,geocoderremote-service,database-hotel-service,web-portal,rabbitmq,database-ts-security-service
ts-admin-travel-service,hystrix-dashboard,ts-payment-service,monitor-dashboard,turbine-server,rating-service,ts-basic-service,ts-food-service,price-service,approval-service,database-user-service,auth-server,turbine-stream-service,database-ts-user-service
message-service,geocoderlocal-service,rabbitmq,turbine,appointment-service,shipping,mail-server,ts-inside-payment-service,comments-webservice,statistics-service,appointment-service,zipkin-tracing,ts-admin-order-service,database-ts-consign-service
ts-route-plan-service,rabbit,recommendation-service,edge-server,approval-service,recommendation-service,monitoring,ts-basic-service,item-service,price-service,customer,user-webservice,ts-execute-service,database-ts-train-service
serviceregistry,gateway,rabbitmq,zuul,message-service,invoicing,eureka-server,ts-notification-service,ts-order-other-service,item-service,catalog,task-webservice,ts-admin-basic-info-service,database-ts-order-service
mysql,account-service,recommendation-client,product-service,kafka,zookeeper,eureka,ts-inside-payment-service,mail-server,github-repository,turbine,card-statement-composite,ts-user-service,database-ts-food-service
ts-contacts-service,comments-webservice,comments-webservice,rabbitmq,mongodb,user-service,webservice-registry,ts-order-service,monitoring,configserver,comments-webservice,statement-service,ts-contacts-service,database-ts-station-food-service
user-service,item-service,api-gateway,category-service,oauth,ts-travel-plan-service,webservice-registry,admin,kafka,geocoderlocal-service,auth-server,card-service,discovery-server,edge-server
ts-user-service,price-service,repository-service,rabbitmq,api-gateway,eureka-discovery,scaffold-eureka,oauth,monitor-dashboard,configserver,web-portal,ts-station-service,scaffold-eureka,shipping
api-gateway,task-webservice,registry,security-service,mailer,geocoderlocal-service,eureka,api-gateway,qbike-order,security-service,user-webservice,account-service,foodtray-service,database-ts-train-food-service
foodtray-service,gateway-service,user-service,kafka,ts-admin-order-service,zuul-gateway,ts-route-service,eureka-server,turbine,ts-station-service,ts-rebook-service,customer-service,eureka,hystrix-dashboard
rabbitmq,approval-service,movie-service,auth-service,ts-admin-order-service,geocoderremote-service,ts-train-service,ts-food-service,order,comments-webservice,item-service,foodtray-service,ts-admin-travel-service,database-ts-food-delivery-service
approval-service,turbine-server,monitor-dashboard,ts-travel-service,user-proxy,hystrix-dashboard,ts-order-service,ts-order-other-service,comments-webservice,product-service,price-service,store-service,ts-consign-service,database-ts-consign-price-service
gateway-service,blog,turbine,approval-service,ts-security-service,statistics-service,ts-order-other-service,ts-consign-service,ts-station-service,category-service,store-service,auth-server,geocoderremote-service,database-ts-station-service
shipping,github-repository,edge-server,config-service,order,account-service,ts-config-service,ts-security-service,mysql,notification-service,customer-service,edge-server,zuul,mail-server
rabbitmq,task-webservice,monitor-dashboard,api-gateway,ts-execute-service,turbine-stream-service,ts-price-service,ts-consign-service,rabbitmq,account-service,account-service,turbine-server,consul,database-personal-info-service
ts-notification-service,comments-webservice,organization-service,ts-travel2-service,database-ts-notification-service,ts-travel-service,price-service,ts-contacts-service,mail-server,comments-webservice,monitor-dashboard,composite-service,apache,database-message-service
consul,ts-preserve-other-service,qbike-order,ts-order-service,ts-notification-service,ts-travel2-service,item-service,ts-security-service,admin,monitor-dashboard,card-service,review-service,ts-assurance-service,database-hospital-manage-service
apache,ts-preserve-service,ts-notification-service,ts-seat-service,account-service,ts-admin-basic-info-service,appointment-service,ts-notification-service,monitor-dashboard,recommendation-service,statement-service,product-service,eureka,database-approval-service
ts-train-service,ts-travel-service,benchmark-service,ts-station-service,database-hotel-service,ts-cancel-service,message-service,ts-food-delivery-service,ts-route-service,auth-server,card-statement-composite,recommendation-service,ts-register-service,database-appointment-service
ts-security-service,monitor-dashboard,ts-config-service,ts-train-service,database-user-service,ts-seat-service,movie-info-service,ts-route-plan-service,ts-train-service,review-service,composite-service,ts-seat-service,turbine,personal-info-service
zuul,rabbitmq,order,ts-order-other-service,database-ts-payment-service,github-repository,ratings-data-service,ts-route-plan-service,security-service,product-service,review-service,ts-station-service,price-service,database-ts-payment-service
ts-contacts-service,kafka,ts-verification-code-service,ts-route-service,hotel-service,webservice-registry,turbine-server,ts-preserve-service,category-service,edge-server,product-service,ts-sso-service,item-service,database-ts-order-other-service
zipkin,product-proxy,ts-food-service,gateway,rating-service,auth-server,edge-server,ts-station-service,product-service,turbine-server,recommendation-service,admin,zuul-gateway,database-ts-price-service
eureka-discovery,category-service,ts-assurance-service,turbine-stream-service,database-ts-inside-payment-service,user-webservice,composite-service,ts-preserve-other-service,ts-travel-service,composite-service,database-message-service,ts-seat-service,geocoderlocal-service,ts-admin-order-service
turbine-stream-service,security-service,api-gateway,monitoring,database-ts-travel2-service,store-service,review-service,ts-price-service,ts-order-service,config-server,database-appointment-service,monitoring,rabbit,database-ts-contacts-service
geocoderremote-service,product-service,kafka,ts-route-service,serviceregistry,customer-service,product-service,ts-consign-price-service,ts-order-other-service,foodtray-service,reminder,ts-order-service,ts-price-service,database-repository-service
ts-consign-service,eureka,catalog,ts-ticketinfo-service,monitor,account-service,recommendation-service,ts-admin-basic-info-service,approval-service,store-service,recommendation-service,ts-order-other-service,order,database-benchmark-service
invoicing,ts-order-service,customer,config-service,github-repository,github-repository,auth-server,ts-register-service,ts-seat-service,customer-service,movie-service,ts-train-service,comments-webservice,database-ts-inside-payment-service
task-webservice,ts-order-other-service,hystrix-dashboard,configserver,rabbitmq,item-service,mailer,ts-rebook-service,ts-ticketinfo-service,account-service,user-service,kafka,task-webservice,database-ts-notification-service
discovery-server,ts-travel2-service,customer,foodtray-service,database-ts-travel-service,web-portal,qbike-order,ts-train-service,ts-route-service,config-server,mailer,ts-travel-service,user-service,ts-admin-route-service
movie-catalog-service,ts-sso-service,catalog,store-service,authserver,price-service,hystrix-dashboard,ts-verification-code-service,ts-train-service,auth-service,oauth,ts-travel-service,movie-service,database-ts-config-service
recommendation-service,ts-seat-service,product-service,auth-server,statement-service,comments-webservice,comments-webservice,ts-execute-service,foodtray-service,monitoring,api-gateway,ts-route-service,recommendation-service,invoicing
comments-webservice,mongodb,category-service,customer-service,discovery-service,intention,ts-seat-service,ts-route-service,store-service,config-server,database-hospital-manage-service,personal-info-service,monitor-dashboard,turbine
benchmark-service,hospital-manage-service,order,account-service,card-service,uc,ts-basic-service,github-repository,config-service,order,geocoderlocal-service,gateway-service,task-webservice,database-ts-assurance-service
ts-register-service,personal-info-service,security-service,web-portal,card-statement-composite,position,comments-webservice,discovery-service,auth-server,kafka,geocoderremote-service,gateway,comments-webservice,database-security-service
user-service,turbine-stream-service,admin,task-webservice,backend,qbike-intention,order,price-service,web-portal,api-gateway,ts-rebook-service,turbine-stream-service,catalog,rabbitmq
movie-service,rabbitmq,comments-webservice,user-webservice,registry,order,demo,store-service,customer-service,oauth,ts-travel-plan-service,ts-order-service,customer,database-category-service
registry,ts-station-service,ts-consign-service,ts-travel-service,monitor-dashboard,review-service,foodtray-service,customer-service,task-webservice,reminder,ts-admin-travel-service,ts-basic-service,api-gateway,repository-service
ts-station-food-service,api-gateway,ts-train-food-service,qbike-trip,github-repository,auth-server,store-service,database-benchmark-service,account-service,mysql,turbine-stream-service,ts-travel2-service,serviceregistry,database-product-service
ts-price-service,auth-server,geocoderlocal-service,qbike-order,movie-service,composite-service,customer-service,mail-server,user-webservice,github-repository,eureka-service,ts-ticketinfo-service,catalog,database-ts-travel2-service
ts-assurance-service,database-repository-service,turbine-stream-service,zipkin-tracing,ts-admin-route-service,recommendation-service,account-service,database-ts-travel-service,ts-travel2-service,task-webservice,database-approval-service,kafka,customer,auth-server
ts-config-service,account-service,ts-security-service,user-webservice,user-service,web-portal,approval-service,item-service,ts-price-service,auth-server,zuul-gateway,rabbitmq,appointment-service,database-ts-travel-service
ts-notification-service,store-service,gateway,web-portal,eureka-service,user-webservice,qbike-trip,database-ts-travel2-service,task-webservice,user-webservice,notification-service,ts-contacts-service,gateway-service,mail-server
ts-consign-service,customer-service,zuul-gateway,auth-server,database-ts-user-service,product-service,security-service,ts-assurance-service,zipkin-tracing,web-portal,ts-cancel-service,ts-user-service,user-service,scaffold-eureka
ts-price-service,database-benchmark-service,monitoring,task-webservice,database-ts-station-service,github-repository,category-service,ts-admin-user-service,auth-server,demo,ts-travel2-service,ts-travel2-service,ts-execute-service,ts-food-service
ts-assurance-service,web-portal,card-service,configserver,ts-food-delivery-service,comments-webservice,product-service,database-ts-inside-payment-service,user-webservice,qbike-trip,ts-travel-service,ts-order-other-service,ts-admin-order-service,eureka
item-service,user-webservice,ts-food-map-service,review-service,ts-admin-user-service,webservice-registry,movie-catalog-service,database-ts-payment-service,web-portal,ts-order-service,ts-travel-plan-service,ts-notification-service,message-service,ts-basic-service
price-service,mysql,config-service,edge-server,ts-order-service,ts-rebook-service,config-server,ts-food-map-service,hystrix-dashboard,ts-order-other-service,statistics-service,ts-consign-service,ts-config-service,message-service
hotel-service,recommendation-service,ts-food-delivery-service,turbine-server,database-ts-config-service,ts-route-plan-service,config-service,database-ts-user-service,ts-config-service,web-portal,account-service,ts-assurance-service,turbine-server,ts-preserve-other-service
rating-service,web-portal,customer-service,composite-service,database-ts-assurance-service,ts-basic-service,database-benchmark-service,ts-login-service,statement-service,user-webservice,ts-seat-service,ts-food-service,jhipster-registry,ts-station-service
rabbitmq,api-gateway,store-service,product-service,ts-consign-service,card-service,database-repository-service,ts-cancel-service,card-statement-composite,auth-server,webservice-registry,ts-security-service,approval-service,ts-order-other-service
monitor-dashboard,auth-server,backend,auth-server,database-ts-order-other-service,github-repository,github-repository,ts-config-service,card-service,zipkin-tracing,webservice-registry,ts-contacts-service,ts-admin-route-service,ts-preserve-service
repository-service,user-webservice,card-statement-composite,recommendation-service,database-ts-route-service,monitor-dashboard,ts-payment-service,database-ts-station-service,ts-seat-service,task-webservice,ts-travel-service,rabbitmq,ts-config-service,ts-order-service
gateway,review-service,authserver,ts-train-service,database-ts-price-service,rabbitmq,mail-server,database-ts-food-service,qbike-trip,admin,ts-travel2-service,ts-food-service,ts-price-service,eureka
kafka,composite-service,api-gateway,ts-seat-service,database-ts-security-service,database-category-service,kafka,database-ts-consign-price-service,ts-travel-service,config-service,ts-admin-basic-info-service,ts-consign-service,rating-service,ts-station-service
hospital-manage-service,monitor-dashboard,statement-service,card-statement-composite,ts-assurance-service,statement-service,ts-consign-price-service,database-ts-price-service,configserver,ts-order-service,ts-basic-service,ts-security-service,eureka,ts-preserve-other-service
product-service,product-service,config-server,scaffold-zuul,database-ts-consign-service,discovery-service,ts-food-map-service,database-ts-order-other-service,config-service,ts-order-other-service,ts-route-plan-service,ts-assurance-service,monitoring,config-server
security-service,ts-rebook-service,ts-payment-service,demo,database-ts-train-service,card-statement-composite,rabbit,foodtray-service,ts-basic-service,ts-route-service,eureka-discovery,ts-inside-payment-service,kafka,ts-sso-service
product-proxy,card-service,ratings-data-service,zuul,ts-notification-service,database-product-service,ts-travel-service,ts-station-food-service,ts-basic-service,github-repository,hystrix-dashboard,ts-route-service,account-service,ts-preserve-service
hystrix-dashboard,user-proxy,mail-server,card-service,ts-contacts-service,scaffold-route-operate,ts-station-food-service,ts-rebook-service,ts-config-service,github-repository,statistics-mongodb,ts-train-service,store-service,configserver
zuul-gateway,card-statement-composite,ts-route-plan-service,statement-service,database-ts-consign-price-service,scaffold-business-job-service,auth-server,database-ts-assurance-service,product-service,database-personal-info-service,external-website,ts-inside-payment-service,customer-service,ts-inside-payment-service
geocoderlocal-service,demo,ts-basic-service,config-server,github-repository,database-security-service,task-webservice,ts-train-food-service,review-service,database-hospital-manage-service,rabbitmq,ts-price-service,auth-server,ts-cancel-service
catalog,statement-service,foodtray-service,config-server,database-ts-order-service,auth-server,zipkin-tracing,ts-admin-basic-info-service,composite-service,gateway-service,discovery-service,mail-server,web-portal,ts-route-service
customer,scaffold-config-server,ts-consign-price-service,mail-server,database-ts-food-service,security-service,user-webservice,database-ts-config-service,configserver,database-message-service,account-mongodb,ts-config-service,api-gateway,appointment-service
gateway-service,edge-server,config-service,ts-travel2-service,database-ts-station-food-service,category-service,web-portal,database-ts-notification-service,recommendation-service,database-approval-service,notification-mongodb,ts-config-service,user-webservice,ts-security-service
customer,turbine,account-service,ts-contacts-service,database-ts-train-food-service,product-service,user-webservice,database-ts-contacts-service,turbine-server,database-appointment-service,eureka-server,mail-server,card-statement-composite,ts-seat-service
discovery-service,ts-preserve-other-service,ts-route-plan-service,ts-inside-payment-service,ts-consign-service,eureka,task-webservice,ts-consign-price-service,auth-server,ts-route-service,database-category-service,ts-route-plan-service,edge-server,ts-travel-service
personal-info-service,ts-preserve-service,mail-server,ts-notification-service,customer-service,github-repository,web-portal,ts-admin-route-service,edge-server,config-service,database-product-service,ts-route-plan-service,statement-service,ts-ticketinfo-service
turbine-server,ts-travel-service,user-webservice,ts-price-service,store-service,kafka,auth-server,ts-admin-travel-service,ts-price-service,statement-service,ts-cancel-service,ts-price-service,card-service,config-server
catalog,ts-ticketinfo-service,movie-info-service,ts-basic-service,price-service,eureka-server,ts-payment-service,ts-admin-order-service,demo,card-service,ts-route-plan-service,ts-notification-service,user-webservice,ts-route-service
apache,qbike-trip,qbike-uc,ts-contacts-service,database-ts-food-delivery-service,scaffold-txmanager,ts-consign-price-service,ts-preserve-other-service,config-server,card-statement-composite,ts-admin-basic-info-service,ts-verification-code-service,auth-server,ts-train-service
